profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"arpit367","https://yocket.in/profiles/arpit367","","GRE

302 


Quant: 156

Verbal: 146","TOEFL
80","UG Score
6.8CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Computer Science from Panjab University, New Delhi","Interested in Computer Science / Information Technology (Spring 2016)"
"jahangir","https://yocket.in/profiles/jahangir","","GRE

303 


Quant: 162

Verbal: 141","IELTS
6.5","UG Score
79%","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Electronics and Communication Engineering from MJCET, Hyderabad","Interested in Computer Science / Information Technology (Spring 2016)"
"abhijeetvhotkar","https://yocket.in/profiles/abhijeetvhotkar","","GRE

302 


Quant: 155

Verbal: 147","TOEFL
81","UG Score
51%","Work Exp.
20 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Electronics and Communication Engineering from PES Modern College Of Engineering, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"TejasGhalsasi","https://yocket.in/profiles/TejasGhalsasi","","GRE

296 


Quant: 145

Verbal: 151","TOEFL
98","UG Score
58%","Work Exp.
17 months","Tech Papers
International","","","Undergrad:

Information Technology from Fr. Conceicao Rodrigues College Of Engineering, Bandra, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"kunj2211","https://yocket.in/profiles/kunj2211","","GRE

306 


Quant: 162

Verbal: 144","TOEFL
87","UG Score
8.5CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Mechanical Engineering from G H Patel College Of Engineering & Technology, Anand","Mechanical Engineering (Fall 2016)"
"Reetika","https://yocket.in/profiles/Reetika","","GRE

312 


Quant: 160

Verbal: 152","IELTS
8","UG Score
80%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from Nalla Narasimha Reddy Education Society’s Group of Institutions (NNRG), Hyderabad","Computer Science (Spring 2012)"
"gaurangshahcr7","https://yocket.in/profiles/gaurangshahcr7","","GRE

307 


Quant: 160

Verbal: 147","TOEFL
97","UG Score
61.07%","Work Exp.
10 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"Snehalsj13","https://yocket.in/profiles/Snehalsj13","","GRE

306 


Quant: 158

Verbal: 148","TOEFL
99","UG Score
65.27%","Work Exp.
18 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from MIT College of Engineering, Pune","Interested in Computer Science / Information Technology (Fall 2017)"
"akhi19","https://yocket.in/profiles/akhi19","","GRE

301 


Quant: 155

Verbal: 146","TOEFL
80","UG Score
68%","Work Exp.
14 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from Pune University, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"mohit1794","https://yocket.in/profiles/mohit1794","","GRE

299 


Quant: 158

Verbal: 141","TOEFL
83","UG Score
62%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from Terna Engineering College, Nerul, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"Prath","https://yocket.in/profiles/Prath","","GRE

291 


Quant: 151

Verbal: 140","TOEFL/IELTS
N.A.","UG Score
60.02%","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from Atharva College Of Engineering, Malad, Mumbai","Computer Science (Fall 2016)"
"nitisha23","https://yocket.in/profiles/nitisha23","","GRE

308 


Quant: 152

Verbal: 156","TOEFL
108","UG Score
66.52%","Work Exp.
39 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from Mumbai University, Mumbai","Computer Science (Fall 2016)"
"shankart","https://yocket.in/profiles/shankart","","GRE

292 


Quant: 149

Verbal: 143","TOEFL
82","UG Score
63%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Computer Science from JSPM Hadapsar, Pune","Interested in Computer Science / Information Technology (Fall 2015)"
"k.s.saketh","https://yocket.in/profiles/k.s.saketh","","GRE

299 


Quant: 161

Verbal: 138","TOEFL
90","UG Score
6.49CGPA","Work Exp.
23 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Electronics and Communication Engineering from Amrita School of Engineering, Bangalore, Bengaluru","Electrical Engineering (Fall 2016)"
"naga","https://yocket.in/profiles/naga","","GRE

302 


Quant: 153

Verbal: 149","TOEFL
95","UG Score
64%","Work Exp.
36 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from PESIT South Campus (PESSE), Bengaluru","Computer Science (Fall 2016)"
