profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"arjun018","https://yocket.in/profiles/arjun018","","GRE

323 


Quant: 166

Verbal: 157","TOEFL
104","UG Score
7.93CGPA","Work Exp.
14 months","Tech Papers
International","","","Undergrad:

Computer Science from National Institute of Technology, Tiruchhirapallii (NIT-T), Tiruchhirapallii","Computer Science (Fall 2017)"
"Kannan07","https://yocket.in/profiles/Kannan07","","GRE

318 


Quant: 168

Verbal: 150","TOEFL
109","UG Score
9.7CGPA","Work Exp.
28 months","Tech Papers
National","","","Undergrad:

Computer Science from SNDT's Usha Mittal Institute of Technology (UMIT), Santacruz, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"siddshah5392","https://yocket.in/profiles/siddshah5392","","GRE

323 


Quant: 168

Verbal: 155","TOEFL
113","UG Score
7CGPA","Work Exp.
36 months","Tech Papers
None","","","Undergrad:

Computer Science from Veermata Jijabai Technological Institute (VJTI), Matunga, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"Jyotisaini","https://yocket.in/profiles/Jyotisaini","","GRE

326 


Quant: 169

Verbal: 157","TOEFL/IELTS
N.A.","UG Score
9.6CGPA","Work Exp.
56 months","Tech Papers
None","","","Undergrad:

Information Technology from National Institute of Technology, Kurukshetra (NIT-KKR), Kurukshetra","Interested in Computer Science / Information Technology (Fall 2017)"
"swatikatta.stupidsid","https://yocket.in/profiles/swatikatta.stupidsid","","GRE

329 


Quant: 166

Verbal: 163","TOEFL
114","UG Score
80%","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

Computer Science from DJ Sanghvi College Of Engineering, Vile Parle, Mumbai","Computer Science (Fall 2013)"
"mithilarun","https://yocket.in/profiles/mithilarun","","GRE

315 


Quant: 161

Verbal: 154","TOEFL
118","UG Score
8.54CGPA","Work Exp.
30 months","Tech Papers
None","","","Undergrad:

Information Technology from PES Institute Of Technology (PES University), Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
"ironstein1994","https://yocket.in/profiles/ironstein1994","","GRE

325 


Quant: 170

Verbal: 155","TOEFL
108","UG Score
7.5CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Electrical and Electronics Engineering from Dwarkadas. J.Sanghvi college of engineering, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"Sjb","https://yocket.in/profiles/Sjb","","GRE

325 


Quant: 167

Verbal: 158","TOEFL
116","UG Score
8.53CGPA","Work Exp.
6 months","Tech Papers
National","","","Undergrad:

Computer Science from SRM University (Kattankulathur Campus), Chennai","Interested in Computer Science / Information Technology (Fall 2017)"
"prbehera","https://yocket.in/profiles/prbehera","","GRE

331 


Quant: 161

Verbal: 170","TOEFL
115","UG Score
8.87CGPA","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

NA","Computer Engineering (Fall 2015)"
"Udeet18","https://yocket.in/profiles/Udeet18","","GRE

330 


Quant: 164

Verbal: 166","TOEFL
113","UG Score
8.33CGPA","Work Exp.
12 months","Tech Papers
None","","","Undergrad:

Computer Science from Manipal Institute of Technology (MIT), Manipal","Interested in Computer Science / Information Technology (Fall 2017)"
